NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
301421,2018,20,,9,43320,NULL,,,,
301422,2017,34,,7,42956,NULL,,O,,3.07E+13
301432,2017,28,,11,42956,NULL,,,,
301440,2017,24,,9,42956,NULL,,,,
301440,2018,24,,10,43320,NULL,,,,
301442,2017,40,,7,42956,NULL,,,,
301445,2017,28,,9,42956,NULL,,,,
301445,2018,28,,10,43320,NULL,,1,,1.96E+13
301447,2018,40,,7,43320,NULL,,,,
301449,2017,27,,9,42956,NULL,,O,,3.07E+13
301449,2018,27,,10,43320,NULL,,O,,3.07E+13
301458,2017,24,,9,42956,NULL,,,,
301458,2018,24,,10,43320,NULL,,,,
301462,2017,20,,11,42956,NULL,,,,
301464,2017,25,,10,42956,NULL,,,,
301464,2018,25,,11,43320,NULL,,,,
301468,2017,22,,9,42956,NULL,,,,
301468,2018,22,,10,43320,NULL,,,,
301472,2018,28,,9,43320,NULL,,,,
301473,2017,22,,11,42956,NULL,,,,
301474,2017,20,,11,42956,NULL,,1,,3066647
301478,2017,22,,11,42956,NULL,,,,
301482,2018,22,,9,43320,NULL,,,,
301492,2017,28,,11,42956,NULL,,,,
301495,2017,20,,11,42956,NULL,,,,
301500,2017,27,,11,42956,NULL,,,,
301505,2017,20,,9,42956,NULL,,,,
301505,2018,20,,10,43320,NULL,,,,
301508,2017,25,,10,42956,NULL,,,,
301508,2018,25,,11,43320,NULL,,,,
301509,2017,27,,9,42956,NULL,,O,,3.07E+13
301509,2018,27,,10,43320,NULL,,O,,3.07E+13
301511,2018,34,,7,43320,NULL,,,,
301513,2017,22,,11,42956,NULL,,,,
301515,2017,24,,9,42956,NULL,,,,
301515,2018,24,,10,43320,NULL,,,,
301519,2017,27,,9,42956,NULL,,O,,3.07E+13
301519,2017,421,C,9,42956,NULL,,O,,3.07E+13
301519,2018,27,,10,43320,NULL,,O,,3.07E+13
301525,2017,27,,10,42956,NULL,,I,,3.07E+13
301525,2018,27,,11,43320,NULL,,,,
301529,2017,40,,7,42956,NULL,,,,
301531,2017,27,,10,42956,NULL,,,,
301531,2018,27,,11,43320,NULL,,,,
301534,2017,23,,11,42956,NULL,,O,,
301537,2017,40,,7,42972,NULL,,,,
301539,2018,68,,11,43320,NULL,,,,
301541,2018,25,,9,43320,NULL,,O,,3.07E+13
301543,2017,24,S,11,42956,NULL,,,,
301547,2018,24,,9,43320,NULL,,,,
301549,2017,24,,11,42956,NULL,,,,
301554,2018,20,,9,43320,NULL,,,,
301560,2017,28,,11,42956,NULL,,,,
301560,2017,421,C,11,42956,NULL,,,,
301565,2018,21,,9,43397,NULL,,1,,3.07E+11
301573,2018,31,,7,43320,NULL,,1,,1.96E+13
301577,2017,40,,7,42956,NULL,,,,
301582,2018,34,,7,43320,NULL,,I,,
301583,2018,24,,11,43320,NULL,,,,
301589,2017,35,,7,42956,NULL,,,,
301590,2018,27,,9,43320,NULL,,,,
301591,2017,25,,10,42956,NULL,,,,
301591,2018,20,,11,43438,NULL,,,,
301603,2017,44,,7,42956,NULL,,,,
301604,2017,44,,7,42956,NULL,,,,
301606,2018,27,,9,43320,NULL,,,,
301612,2018,37,,7,43320,NULL,,,,
301614,2017,20,S,11,42956,NULL,,,,
